Gene ID
AAAS
ABL1
ABRAXAS1
ACTB
ACTL6A
ACTL6B
ACTR2
ACTR5
ACTR8
ADA
ADCY6
ADPRS
ADRM1
AK1
AK3
ALKBH1
ALKBH2
ALKBH3
ANKLE1
AP5S1
AP5Z1
APBB1
APEX1
APEX2
APLF
APRT
APTX
ARID1A
ARID1B
ARID2
ARL6IP1
ASCC1
ASCC2
ASCC3
ASF1A
ATM
ATR
ATRIP
ATRX
ATXN7
ATXN7L3
AUNIP
AXIN2
BABAM1
BABAM2
BACH1
BARD1
BCAM
BCAP31
BCCIP
BCL7A
BCL7B
BCL7C
BLM
BOD1L1
BOLA2
BRCA1
BRCA2
BRCC3
BRD7
BRD8
BRF2
BRIP1
BRME1
C14ORF39
CANT1
CBX8
CCDC117
CCNO
CDA
CDC14B
CDC45
CDC5L
CDC7
CDCA5
CDK2
CDK7
CDK9
CDKN2D
CEBPG
CENPS
CENPX
CEP164
CETN1
CETN2
CGAS
CHAF1A
CHAF1B
CHCHD4
CHD1L
CHD4
CHEK1
CHEK2
CHRNA4
CINP
CLP1
CLSPN
CMPK2
COMMD1
COX17
CSTF3
CUL4A
CUL4B
CYREN
DAD1
DCLRE1A
DCLRE1B
DCLRE1C
DCTN4
DDB1
DDB2
DDX1
DDX11
DDX3X
DEK
DGCR8
DGUOK
DHX9
DMAP1
DMC1
DNA2
DNTT
DOT1L
DPF1
DPF2
DPF3
DTL
DTX3L
DUT
DYRK1B
EDF1
EEPD1
EGFR
EID3
EIF1B
ELL
EME1
EME2
EMSY
ENDOV
ENY2
EP400
EPC1
EPC2
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC6L2
ERCC8
ESCO2
ETAA1
EXD2
EXO1
EXO5
EYA1
EYA2
EYA3
EYA4
FAAP100
FAAP20
FAAP24
FAM111A
FAM168A
FAN1
FANCA
FANCB
FANCC
FANCD2
FANCF
FANCG
FANCI
FANCL
FANCM
FBH1
FBXO6
FBXW7
FEN1
FGF10
FIGNL1
FLNB
FMN2
FMR1
FOXM1
FTO
FUS
FZR1
GCNA
GEN1
GGN
GINS2
GINS4
GMPR2
GPX4
GTF2A2
GTF2B
GTF2F1
GTF2H1
GTF2H2
GTF2H2C
GTF2H3
GTF2H4
GTF2H5
GTF3C5
GUK1
H2AC25
H2AX
HCLS1
HDAC10
HDAC9
HDGFL2
HELB
HELQ
HERC2
HINFP
HLTF
HMCES
HMGA1
HMGA2
HMGB1
HMGN1
HPF1
HPRT1
HROB
HSF1
HSF2BP
HSPA1A
HSPA1B
HUS1
HUS1B
HUWE1
IER3
IFFO1
IMPDH2
ING3
INIP
INO80
INO80B
INO80C
INO80D
INO80E
INTS3
ITPA
JMY
KASH5
KAT2A
KAT2B
KAT5
KAT7
KDM1A
KDM2A
KDM4D
KIF22
KIN
KLHL15
KMT5B
KMT5C
LIG1
LIG3
LIG4
MAD2L2
MAJIN
MARF1
MBD4
MBTD1
MC1R
MCM2
MCM3
MCM4
MCM5
MCM6
MCM7
MCM8
MCM9
MCMDC2
MCRS1
MDC1
MEAF6
MEIOB
MEIOC
MGME1
MGMT
MLH1
MLH3
MMS19
MMS22L
MNAT1
MORC2
MORF4L1
MORF4L2
MPG
MPND
MRE11
MRGBP
MRNIP
MRPL40
MSH2
MSH3
MSH4
MSH5
MSH6
MTA1
MUS81
MUTYH
NABP1
NABP2
NBN
NCBP2
NEIL1
NEIL2
NEIL3
NFRKB
NFX1
NHEJ1
NIPBL
NME1
NME3
NME4
NONO
NOP53
NPAS2
NPM1
NPR2
NSD2
NSMCE1
NSMCE2
NSMCE3
NSMCE4A
NT5C
NTHL1
NUCKS1
NUDT16L1
NUDT21
NUDT9
OGG1
OOEP
OTUB1
OTUB2
PALB2
PARG
PARK7
PARP1
PARP10
PARP2
PARP3
PARP9
PARPBP
PAXIP1
PAXX
PBRM1
PCLAF
PCNA
PDE4B
PDE6G
PDS5A
PDS5B
PHF10
PIAS4
PIF1
PML
PMS1
PMS2
PNKP
PNP
POGZ
POLA1
POLA2
POLB
POLD1
POLD2
POLD3
POLD4
POLDIP2
POLE
POLE2
POLE4
POLG2
POLH
POLI
POLK
POLL
POLM
POLN
POLQ
POLR1C
POLR1D
POLR2A
POLR2C
POLR2D
POLR2E
POLR2F
POLR2G
POLR2H
POLR2I
POLR2J
POLR2K
POLR3C
POLR3GL
POM121
POT1
PPP4C
PPP4R2
PPP4R3B
PRDM9
PRIM1
PRIMPOL
PRKCG
PRKDC
PRMT6
PRPF19
PSMD14
PSME4
PTTG1
PWWP3A
RAD1
RAD17
RAD18
RAD21
RAD21L1
RAD23A
RAD23B
RAD50
RAD51
RAD51AP1
RAD51B
RAD51C
RAD51D
RAD52
RAD54B
RAD54L
RAD9A
RAD9B
RADX
RAE1
RALA
RBBP8
RBX1
REC8
RECQL
RECQL4
RECQL5
REV1
REV3L
REXO4
RFC1
RFC2
RFC3
RFC4
RFC5
RFWD3
RHNO1
RIF1
RMI1
RMI2
RNASEH2A
RNASEH2B
RNASEH2C
RNF111
RNF138
RNF168
RNF169
RNF8
RNMT
RPA1
RPA2
RPA3
RPAIN
RPS3
RRM1
RRM2B
RTEL1
RUVBL1
RUVBL2
SAC3D1
SAMHD1
SDCBP
SEC61A1
SEM1
SETD2
SETMAR
SETX
SF3A3
SF3B3
SF3B5
SFPQ
SFR1
SGF29
SHLD1
SHLD2
SHLD3
SHPRH
SIRT1
SIRT6
SIRT7
SLF1
SLF2
SLX1A
SLX1B
SLX4
SMAD5
SMARCA2
SMARCA4
SMARCA5
SMARCAD1
SMARCAL1
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCD3
SMARCE1
SMC1A
SMC2
SMC3
SMC4
SMC5
SMC6
SMCHD1
SMG1
SMUG1
SNAPC4
SNAPC5
SPATA22
SPIDR
SPIRE1
SPIRE2
SPO11
SPRTN
SRSF6
SSRP1
STN1
STUB1
STX3
SUPT16H
SUPT20H
SUPT3H
SUPT4H1
SUPT5H
SUPT7L
SURF1
SUV39H1
SWI5
SWSAP1
SYCP1
SYCP3
TADA1
TADA2B
TADA3
TAF10
TAF12
TAF13
TAF1C
TAF2
TAF4
TAF5
TAF5L
TAF6
TAF6L
TAF7
TAF9
TAOK1
TAOK3
TARBP2
TDG
TDP1
TDP2
TERB1
TERB2
TERF2IP
TEX12
TEX15
TEX264
TFPT
TICRR
TIGAR
TIMELESS
TK2
TMED2
TMEM161A
TNKS1BP1
TNP1
TONSL
TOP3A
TOPBP1
TP53
TP53BP1
TRAIP
TREX1
TREX2
TRIM28
TRIP12
TRIP13
TRPC2
TRRAP
TSG101
TTC5
TTF2
TWIST1
TYMS
UBE2A
UBE2B
UBE2D3
UBE2N
UBE2T
UBE2V1
UBE2V2
UBE2W
UBQLN4
UBR5
UCHL5
UFL1
UHRF1
UIMC1
UMPS
UNG
UPF1
UPF3B
USP1
USP10
USP11
USP22
USP28
USP3
USP45
USP47
USP51
USP7
UVRAG
UVSSA
VCP
VCPIP1
VPS28
VPS37B
VPS37D
VPS72
WAS
WDHD1
WDR48
WRAP53
WRN
WRNIP1
XAB2
XPA
XPC
XRCC1
XRCC2
XRCC3
XRCC4
XRCC5
XRCC6
XRN2
YEATS4
YY1
ZBTB1
ZBTB7A
ZCWPW1
ZFYVE26
ZMPSTE24
ZMYND8
ZNF365
ZNF707
ZRANB3
ZSWIM7
ZWINT
BRP44
COBRA1
DFNA5
EIF2C4
NT5C3
RDBP
TCEB3
TH1L
THOC4
ZNRD1
MDC 1.00
STN 1.00
KHDC3L
MRE11A
HFM1
CCNH
NUDT1
RNF4
FANCE
DNPH1
GTF2E2
CLK2
RDM1
PER1
RPA4
POLE3
PMS2P3
MPLKIP
NUDT18
NUDT15
POLG
